id_time,time,dt_object,orig_value,date_only,score_AnDePeDPro,score_bayesChangePt,score_contextOSE,score_earthgeckoSkyline,score_knncad,score_relativeEntropy,score_windowedGaussian,detector_votes,is_detector_anomaly,expected_pattern,pattern_deviation,is_pattern_anomaly,raw_anomaly,anomaly_window_mask,is_ground_truth
0,2023-10-09 00:00:00+00:00,2023-10-09 00:00:00+00:00,70636890.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,571140344.0,500503454.0,0,0,0,False
1,2023-10-09 01:00:00+00:00,2023-10-09 01:00:00+00:00,141965063.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0,517075463.0,375110400.0,0,0,0,False
2,2023-10-09 02:00:00+00:00,2023-10-09 02:00:00+00:00,625205225.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0,468139394.5,157065830.5,0,0,0,False
3,2023-10-09 03:00:00+00:00,2023-10-09 03:00:00+00:00,942313274.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.9964441838068084,2,0,419203326.0,523109948.0,0,0,0,False
4,2023-10-09 04:00:00+00:00,2023-10-09 04:00:00+00:00,704080595.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.7655374681337273,1,0,394658575.0,309422020.0,0,0,0,False
5,2023-10-09 05:00:00+00:00,2023-10-09 05:00:00+00:00,419203326.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.5912890860254771,1,0,370113824.0,49089502.0,0,0,0,False
6,2023-10-09 06:00:00+00:00,2023-10-09 06:00:00+00:00,739907606.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.7968000856127689,1,0,322976229.5,416931376.5,0,0,0,False
7,2023-10-09 07:00:00+00:00,2023-10-09 07:00:00+00:00,680226831.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.7033051934887639,1,0,275838635.0,404388196.0,0,0,0,False
8,2023-10-09 08:00:00+00:00,2023-10-09 08:00:00+00:00,1793126513.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.9999945406027854,2,0,267734075.5,1525392437.5,0,0,0,False
9,2023-10-09 09:00:00+00:00,2023-10-09 09:00:00+00:00,517075463.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.6334896491737008,1,0,275838635.0,241236828.0,0,0,0,False
10,2023-10-09 10:00:00+00:00,2023-10-09 10:00:00+00:00,370113824.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.7466272840389152,1,0,319632011.0,50481813.0,0,0,0,False
11,2023-10-09 11:00:00+00:00,2023-10-09 11:00:00+00:00,259629516.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.8083235176364822,1,0,351529803.0,91900287.0,0,0,0,False
12,2023-10-09 12:00:00+00:00,2023-10-09 12:00:00+00:00,233275367.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.8078604917275986,1,0,313684219.0,80408852.0,0,0,0,False
13,2023-10-09 13:00:00+00:00,2023-10-09 13:00:00+00:00,188148615.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.8206021507052655,1,0,313684219.0,125535604.0,0,0,0,False
14,2023-10-09 14:00:00+00:00,2023-10-09 14:00:00+00:00,253094238.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.7600334729794304,1,0,313684219.0,60589981.0,0,0,0,False
15,2023-10-09 15:00:00+00:00,2023-10-09 15:00:00+00:00,275838635.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.7313911895424999,1,0,304394005.0,28555370.0,0,0,0,False
16,2023-10-09 16:00:00+00:00,2023-10-09 16:00:00+00:00,154992081.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.8119850447805493,1,0,304394005.0,149401924.0,0,0,0,False
17,2023-10-09 17:00:00+00:00,2023-10-09 17:00:00+00:00,221032315.0,2023-10-09,1.0,0.5294117647058824,0.0,0.0,0.0,0.0,0.7508974219771859,1,0,304394005.0,83361690.0,0,0,0,False
18,2023-10-09 18:00:00+00:00,2023-10-09 18:00:00+00:00,194576437.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.7630320717960125,1,0,304394005.0,109817568.0,0,0,0,False
19,2023-10-09 19:00:00+00:00,2023-10-09 19:00:00+00:00,67680454.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.8435462351693539,1,0,304394005.0,236713551.0,0,0,0,False
20,2023-10-09 20:00:00+00:00,2023-10-09 20:00:00+00:00,363425387.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.583115257798597,1,0,304394005.0,59031382.0,0,0,0,False
21,2023-10-09 21:00:00+00:00,2023-10-09 21:00:00+00:00,380972239.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.563194110804903,1,0,304394005.0,76578234.0,0,0,0,False
22,2023-10-09 22:00:00+00:00,2023-10-09 22:00:00+00:00,351529803.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.5923002391466592,1,0,304394005.0,47135798.0,0,0,0,False
23,2023-10-09 23:00:00+00:00,2023-10-09 23:00:00+00:00,240272260.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.7018125984327491,1,0,304394005.0,64121745.0,0,0,0,False
24,2023-10-10 00:00:00+00:00,2023-10-10 00:00:00+00:00,194285523.0,2023-10-10,1.0,0.0,0.0,0.0,0.0,0.0,0.7395808344398894,1,0,309878426.0,115592903.0,0,0,0,False
25,2023-10-10 01:00:00+00:00,2023-10-10 01:00:00+00:00,148341839.0,2023-10-10,1.0,0.0,0.0,0.0,0.0,0.0,0.7739696170699453,1,0,309878426.0,161536587.0,0,0,0,False
26,2023-10-10 02:00:00+00:00,2023-10-10 02:00:00+00:00,332949375.0,2023-10-10,1.0,0.0,0.0,0.0,0.0,0.0,0.583358745171088,1,0,309878426.0,23070949.0,0,0,0,False
27,2023-10-10 03:00:00+00:00,2023-10-10 03:00:00+00:00,790547323.0,2023-10-10,1.0,0.9411764705882352,0.0,0.0,0.0,0.0,0.8650976134482238,1,0,309878426.0,480668897.0,0,0,0,False
28,2023-10-10 04:00:00+00:00,2023-10-10 04:00:00+00:00,791870273.0,2023-10-10,1.0,0.0,0.0,0.0,0.0,0.0,0.8564671487637392,1,0,342239589.0,449630684.0,0,0,0,False
29,2023-10-10 05:00:00+00:00,2023-10-10 05:00:00+00:00,649757986.0,2023-10-10,1.0,0.0,0.0,0.0,0.0,0.0,0.7328045173637454,1,0,356562403.0,293195583.0,0,0,0,False
30,2023-10-10 06:00:00+00:00,2023-10-10 06:00:00+00:00,643774201.0,2023-10-10,1.0,0.0,0.0,0.0,0.0,0.0,0.7223215921578201,1,0,362510195.0,281264006.0,0,0,0,False
31,2023-10-10 07:00:00+00:00,2023-10-10 07:00:00+00:00,553850566.0,2023-10-10,1.0,0.0,0.0,0.0,0.0,0.0,0.6236954825314865,1,0,362510195.0,191340371.0,0,0,0,False
32,2023-10-10 08:00:00+00:00,2023-10-10 08:00:00+00:00,491329328.0,2023-10-10,1.0,0.0,0.0,0.0,0.0,0.0,0.5497997269469379,1,0,362510195.0,128819133.0,0,0,0,False
33,2023-10-10 09:00:00+00:00,2023-10-10 09:00:00+00:00,709302480.0,2023-10-10,1.0,0.0,0.0,0.0,0.0,0.0,0.7804878986848396,1,0,371283621.0,338018859.0,0,0,0,False
34,2023-10-10 10:00:00+00:00,2023-10-10 10:00:00+00:00,1216224586.0,2023-10-10,1.0,0.0,0.0,0.0,0.0,0.0,0.9888645829107264,1,0,356562403.0,859662183.0,0,0,0,False
35,2023-10-10 11:00:00+00:00,2023-10-10 11:00:00+00:00,286807477.0,2023-10-10,1.0,0.0,0.0,0.0,0.0,0.0,0.7099978654002459,1,0,347272189.0,60464712.0,0,0,0,False
