timestep,orig_value,dt_object,score_AnDePeDPro_ec2_network_in,score_bayesChangePt_ec2_network_in,score_contextOSE_ec2_network_in,score_earthgeckoSkyline_ec2_network_in,score_knncad_ec2_network_in,score_relativeEntropy_ec2_network_in,score_windowedGaussian_ec2_network_in,detector_votes,is_detector_anomaly,expected_pattern,pattern_deviation,is_pattern_anomaly,is_final_anomaly,is_ground_truth
2014-04-10 00:04:00,251643.0,2014-04-10 00:04:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,243013.5,8629.5,0,0,False
2014-04-10 00:09:00,3203510.0,2014-04-10 00:09:00,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0,243337.0,2960173.0,0,0,False
2014-04-10 00:14:00,287397.0,2014-04-10 00:14:00,1.0,0.0,0.0,0.0,0.0,0.0,0.9926803348851077,2,0,243013.5,44383.5,0,0,False
2014-04-10 00:19:00,238944.0,2014-04-10 00:19:00,1.0,0.0,0.0,0.0,0.0,0.0,0.8837439022565493,1,0,243337.0,4393.0,0,0,False
2014-04-10 00:24:00,245880.0,2014-04-10 00:24:00,1.0,0.25,0.0,0.0,0.0,0.0,0.8111253424980753,1,0,243568.0,2312.0,0,0,False
2014-04-10 00:29:00,234170.0,2014-04-10 00:29:00,1.0,0.0,0.0,0.0,0.0,0.0,0.771560029415345,1,0,243337.0,9167.0,0,0,False
2014-04-10 00:34:00,255797.0,2014-04-10 00:34:00,1.0,0.0,0.0,0.0,0.0,0.0,0.7357530139510727,1,0,243013.5,12783.5,0,0,False
2014-04-10 00:39:00,244002.0,2014-04-10 00:39:00,1.0,0.0,0.0,0.0,0.0,0.0,0.7186603627735912,1,0,243337.0,665.0,0,0,False
2014-04-10 00:44:00,514385.0,2014-04-10 00:44:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6031566672235937,1,0,243013.5,271371.5,0,0,False
2014-04-10 00:49:00,270883.0,2014-04-10 00:49:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6920180039458842,1,0,242690.0,28193.0,0,0,False
