timestep,orig_value,dt_object,score_AnDePeDPro_ec2_cpu_utilization_24ae8d_adddata-240214123559,score_bayesChangePt_ec2_cpu_utilization_24ae8d_adddata-240214123559,score_contextOSE_ec2_cpu_utilization_24ae8d_adddata-240214123559,score_earthgeckoSkyline_ec2_cpu_utilization_24ae8d_adddata-240214123559,score_knncad_ec2_cpu_utilization_24ae8d_adddata-240214123559,score_relativeEntropy_ec2_cpu_utilization_24ae8d_adddata-240214123559,score_windowedGaussian_ec2_cpu_utilization_24ae8d_adddata-240214123559,detector_votes,is_detector_anomaly,expected_pattern,pattern_deviation,is_pattern_anomaly,is_ground_truth
2014-02-14 14:30:00,0.132,2014-02-14 14:30:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.134,0.0020000000000000018,0,False
2014-02-14 14:35:00,0.134,2014-02-14 14:35:00,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0,0.134,0.0,0,False
2014-02-14 14:40:00,0.134,2014-02-14 14:40:00,1.0,0.0,0.0,0.0,0.0,0.0,0.8413447460685429,1,0,0.134,0.0,0,False
2014-02-14 14:45:00,0.134,2014-02-14 14:45:00,1.0,0.0,0.0,0.0,0.0,0.0,0.7602499389065229,1,0,0.134,0.0,0,False
2014-02-14 14:50:00,0.134,2014-02-14 14:50:00,1.0,0.0,0.0,0.0,0.0,0.0,0.7181485691746134,1,0,0.134,0.0,0,False
2014-02-14 14:55:00,0.134,2014-02-14 14:55:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6914624612740126,1,0,0.134,0.0,0,False
2014-02-14 15:00:00,0.134,2014-02-14 15:00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6726395769907119,1,0,0.134,0.0,0,False
2014-02-14 15:05:00,0.134,2014-02-14 15:05:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6584543008451961,1,0,0.134,0.0,0,False
2014-02-14 15:10:00,0.066,2014-02-14 15:10:00,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0,0.134,0.068,0,False
2014-02-14 15:15:00,0.132,2014-02-14 15:15:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6068989649947655,1,0,0.134,0.0020000000000000018,0,False
2014-02-14 15:20:00,0.134,2014-02-14 15:20:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6387030959042641,1,0,0.134,0.0,0,False
2014-02-14 15:25:00,0.066,2014-02-14 15:25:00,1.0,0.0,0.0,0.0,0.0,0.0,0.9992107335367018,2,0,0.134,0.068,0,False
2014-02-14 15:30:00,0.132,2014-02-14 15:30:00,1.0,0.0,0.0,0.0,0.0,0.0,0.649341350969729,1,0,0.134,0.0020000000000000018,0,False
2014-02-14 15:35:00,0.2019999999999999,2014-02-14 15:35:00,1.0,0.0,0.0,0.0,0.0,0.0,0.9994044409239078,2,0,0.134,0.0679999999999999,0,False
2014-02-14 15:40:00,0.068,2014-02-14 15:40:00,1.0,0.0,0.0,0.0,0.0,0.0,0.9747499363207076,2,0,0.134,0.066,0,False
2014-02-14 15:45:00,0.134,2014-02-14 15:45:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6094118827256201,1,0,0.134,0.0,0,False
2014-02-14 15:50:00,0.132,2014-02-14 15:50:00,1.0,0.0,0.0,0.0,0.0,0.0,0.5819908723718121,1,0,0.134,0.0020000000000000018,0,False
2014-02-14 15:55:00,0.134,2014-02-14 15:55:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6039923926147137,1,0,0.134,0.0,0,False
2014-02-14 16:00:00,0.134,2014-02-14 16:00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6009363931773274,1,0,0.134,0.0,0,False
2014-02-14 16:05:00,0.136,2014-02-14 16:05:00,1.0,0.0,0.0,0.0,0.0,0.0,0.623629907156146,1,0,0.134,0.0020000000000000018,0,False
2014-02-14 16:10:00,0.132,2014-02-14 16:10:00,1.0,0.0,0.0,0.0,0.0,0.0,0.5675588480861519,1,0,0.134,0.0020000000000000018,0,False
2014-02-14 16:15:00,0.134,2014-02-14 16:15:00,1.0,0.0,0.0,0.0,0.0,0.0,0.5931459760533349,1,0,0.134,0.0,0,False
2014-02-14 16:20:00,0.134,2014-02-14 16:20:00,1.0,0.0,0.0,0.0,0.0,0.0,0.5909297459447169,1,0,0.134,0.0,0,False
2014-02-14 16:25:00,0.066,2014-02-14 16:25:00,1.0,0.0,0.0,0.0,0.0,0.0,0.9877569278818584,2,0,0.134,0.068,0,False
2014-02-14 16:30:00,0.134,2014-02-14 16:30:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6162067057865657,1,0,0.134,0.0,0,False
2014-02-14 16:35:00,0.134,2014-02-14 16:35:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6137314035617683,1,0,0.134,0.0,0,False
2014-02-14 16:40:00,0.066,2014-02-14 16:40:00,1.0,0.0,0.0,0.0,0.0,0.0,0.9821143210204072,2,0,0.134,0.068,0,False
2014-02-14 16:45:00,0.134,2014-02-14 16:45:00,1.0,0.0,0.0,0.0,0.0,0.0,0.633391791941129,1,0,0.134,0.0,0,False
2014-02-14 16:50:00,0.134,2014-02-14 16:50:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6308162329606682,1,0,0.134,0.0,0,False
