timestep,orig_value,dt_object,score_AnDePeDPro_ec2_network_in,score_bayesChangePt_ec2_network_in,score_contextOSE_ec2_network_in,score_earthgeckoSkyline_ec2_network_in,score_knncad_ec2_network_in,score_relativeEntropy_ec2_network_in,score_windowedGaussian_ec2_network_in,expected_pattern,pattern_deviation,is_final_anomaly
2014-04-10 00:04:00,251643.0,2014-04-10 00:04:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,244926.5,6716.5,0
2014-04-10 00:09:00,3203510.0,2014-04-10 00:09:00,1.0,0.0,0.0,0.0,0.0,0.0,1.0,244932.0,2958578.0,0
2014-04-10 00:14:00,287397.0,2014-04-10 00:14:00,1.0,0.0,0.0,0.0,0.0,0.0,0.9926803348851077,244926.5,42470.5,0
2014-04-10 00:19:00,238944.0,2014-04-10 00:19:00,1.0,0.0,0.0,0.0,0.0,0.0,0.8837439022565493,244932.0,5988.0,0
2014-04-10 00:24:00,245880.0,2014-04-10 00:24:00,1.0,0.25,0.0,0.0,0.0,0.0,0.8111253424980753,244960.5,919.5,0
2014-04-10 00:29:00,234170.0,2014-04-10 00:29:00,1.0,0.0,0.0,0.0,0.0,0.0,0.771560029415345,244989.0,10819.0,0
2014-04-10 00:34:00,255797.0,2014-04-10 00:34:00,1.0,0.0,0.0,0.0,0.0,0.0,0.7357530139510727,245027.5,10769.5,0
2014-04-10 00:39:00,244002.0,2014-04-10 00:39:00,1.0,0.0,0.0,0.0,0.0,0.0,0.7186603627735912,244989.0,987.0,0
2014-04-10 00:44:00,514385.0,2014-04-10 00:44:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6031566672235937,245027.5,269357.5,0
2014-04-10 00:49:00,270883.0,2014-04-10 00:49:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6920180039458842,245066.0,25817.0,0
2014-04-10 00:54:00,249887.0,2014-04-10 00:54:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6889722638747038,245027.5,4859.5,0
2014-04-10 00:59:00,3201940.0,2014-04-10 00:59:00,1.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.9980508495673704,244989.0,2956951.0,0
2014-04-10 01:04:00,280638.0,2014-04-10 01:04:00,1.0,0.0,0.0,0.0,0.0,0.0,0.7047247162548853,245027.5,35610.5,0
2014-04-10 01:09:00,3231740.0,2014-04-10 01:09:00,1.0,0.0,0.0,0.0,0.0,0.0,0.9871134454847716,244989.0,2986751.0,0
2014-04-10 01:14:00,223158.0,2014-04-10 01:14:00,1.0,0.0,0.0,0.0,0.0,0.0,0.7408307969613488,245027.5,21869.5,0
2014-04-10 01:19:00,242568.0,2014-04-10 01:19:00,1.0,0.0,0.0,0.0,0.0,0.0,0.7254449830429306,245066.0,2498.0,0
2014-04-10 01:24:00,221907.0,2014-04-10 01:24:00,1.0,0.4,0.0,0.0,0.0,0.0,0.722912497002886,245093.0,23186.0,0
2014-04-10 01:29:00,248537.0,2014-04-10 01:29:00,1.0,0.0,0.0,0.0,0.0,0.0,0.7072424912016121,245120.0,3417.0,0
2014-04-10 01:34:00,223433.0,2014-04-10 01:34:00,1.0,0.0,0.0,0.0,0.0,0.0,0.7082367768841787,245158.0,21725.0,0
2014-04-10 01:39:00,247310.0,2014-04-10 01:39:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6941158955589668,245196.0,2114.0,0
2014-04-10 01:44:00,224771.0,2014-04-10 01:44:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6958896515160593,245242.5,20471.5,0
2014-04-10 01:49:00,223668.0,2014-04-10 01:49:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6908320549397956,245289.0,21621.0,0
2014-04-10 01:54:00,240044.0,2014-04-10 01:54:00,1.0,0.0,0.0,0.0,0.0,0.0,0.680166679949331,245383.0,5339.0,0
2014-04-10 01:59:00,3221290.0,2014-04-10 01:59:00,1.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.9935034910956076,245477.0,2975813.0,0
2014-04-10 02:04:00,235606.0,2014-04-10 02:04:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6961894306181691,245678.5,10072.5,0
2014-04-10 02:09:00,3202800.0,2014-04-10 02:09:00,1.0,0.0,0.0,0.0,0.0,0.0,0.9863057165262162,245880.0,2956920.0,0
2014-04-10 02:14:00,244192.0,2014-04-10 02:14:00,1.0,0.0,0.0,0.0,0.0,0.0,0.705574688582729,245678.5,1486.5,0
2014-04-10 02:19:00,231729.0,2014-04-10 02:19:00,1.0,0.0,0.0,0.0,0.0,0.0,0.7048276078801836,245880.0,14151.0,0
2014-04-10 02:24:00,251450.0,2014-04-10 02:24:00,1.0,0.4,0.0,0.0,0.0,0.0,0.6944951633947876,245993.0,5457.0,0
2014-04-10 02:29:00,219342.0,2014-04-10 02:29:00,1.0,0.0,0.0,0.0,0.0,0.0,0.7005873975437173,246106.0,26764.0,0
2014-04-10 02:34:00,241032.0,2014-04-10 02:34:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6898317769851241,246233.0,5201.0,0
2014-04-10 02:39:00,219744.0,2014-04-10 02:39:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6931447714216663,246106.0,26362.0,0
2014-04-10 02:44:00,232511.0,2014-04-10 02:44:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6854890297012768,246233.0,13722.0,0
2014-04-10 02:49:00,237811.0,2014-04-10 02:49:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6805054120399295,246106.0,8295.0,0
2014-04-10 02:54:00,226034.0,2014-04-10 02:54:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6814596657254793,246233.0,20199.0,0
2014-04-10 02:59:00,3220170.0,2014-04-10 02:59:00,1.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.991652061730677,246360.0,2973810.0,0
2014-04-10 03:04:00,228654.0,2014-04-10 03:04:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6903753586820386,246233.0,17579.0,0
2014-04-10 03:09:00,3227830.0,2014-04-10 03:09:00,1.0,0.0,0.0,0.0,0.0,0.0,0.987301148725262,246106.0,2981724.0,0
2014-04-10 03:19:00,256906.0,2014-04-10 03:19:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6904148734137486,246233.0,10673.0,0
2014-04-10 03:24:00,216462.0,2014-04-10 03:24:00,1.0,0.0,0.0,0.0,0.0,0.0,0.7000021383913622,246360.0,29898.0,0
2014-04-10 03:29:00,238240.0,2014-04-10 03:29:00,1.0,0.4,0.0,0.0,0.0,0.0,0.6903466144404504,246607.5,8367.5,0
2014-04-10 03:34:00,233821.0,2014-04-10 03:34:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6890643063638301,246855.0,13034.0,0
2014-04-10 03:39:00,239067.0,2014-04-10 03:39:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6848039906754118,246607.5,7540.5,0
2014-04-10 03:44:00,229348.0,2014-04-10 03:44:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6854816150978441,246855.0,17507.0,0
2014-04-10 03:49:00,233914.0,2014-04-10 03:49:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6815809528778571,246940.5,13026.5,0
2014-04-10 03:54:00,245289.0,2014-04-10 03:54:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6755178460720095,247026.0,1737.0,0
2014-04-10 03:59:00,3201090.0,2014-04-10 03:59:00,1.0,0.875,0.0,0.0,0.0,0.0,0.9893325651893924,246940.5,2954149.5,0
2014-04-10 04:04:00,249867.0,2014-04-10 04:04:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6820016974888083,247026.0,2841.0,0
2014-04-10 04:09:00,3207780.0,2014-04-10 04:09:00,1.0,0.0,0.0,0.0,0.0,0.0,0.9858339101292466,246940.5,2960839.5,0
2014-04-10 04:14:00,241860.0,2014-04-10 04:14:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6916746995394165,246855.0,4995.0,0
2014-04-10 04:19:00,220347.0,2014-04-10 04:19:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6960695062701928,246940.5,26593.5,0
2014-04-10 04:24:00,244003.0,2014-04-10 04:24:00,1.0,0.4,0.0,0.0,0.0,0.0,0.6864980117982035,247026.0,3023.0,0
2014-04-10 04:29:00,3223880.0,2014-04-10 04:29:00,1.0,0.0,0.0,0.0,0.0,0.0,0.9846885271177462,247079.0,2976801.0,0
2014-04-10 04:34:00,1046040.0,2014-04-10 04:34:00,1.0,0.0,0.0,0.0,0.0,0.0,0.573011072374484,247132.0,798908.0,0
2014-04-10 04:39:00,1477550.0,2014-04-10 04:39:00,1.0,0.0,0.0,0.0,0.0,0.0,0.7108646571300156,247079.0,1230471.0,0
2014-04-10 04:44:00,239252.0,2014-04-10 04:44:00,1.0,0.0,0.0,0.0,0.0,0.0,0.7018675485287059,247026.0,7774.0,0
2014-04-10 04:49:00,245477.0,2014-04-10 04:49:00,1.0,0.0,0.0,0.0,0.0,0.0,0.697860562072826,247079.0,1602.0,0
2014-04-10 04:54:00,233018.0,2014-04-10 04:54:00,1.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.699681266678228,247132.0,14114.0,0
2014-04-10 04:59:00,3213870.0,2014-04-10 04:59:00,1.0,0.0,0.0,0.0,0.0,0.0,0.9834381927139252,247166.0,2966704.0,0
2014-04-10 05:04:00,241929.0,2014-04-10 05:04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.702144371698878,247132.0,5203.0,0
2014-04-10 05:09:00,3208820.0,2014-04-10 05:09:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9799385367216624,247079.0,2961741.0,0
2014-04-10 05:14:00,236597.0,2014-04-10 05:14:00,0.0,0.0,0.0,0.0,0.0,0.0,0.7085704227276113,247132.0,10535.0,0
2014-04-10 05:19:00,239443.0,2014-04-10 05:19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.7057534046442104,247166.0,7723.0,0
2014-04-10 05:24:00,244422.0,2014-04-10 05:24:00,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,0.7023602822233115,247200.0,2778.0,0
2014-04-10 05:29:00,225751.0,2014-04-10 05:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.7060791277844389,247166.0,21415.0,0
2014-04-10 05:34:00,250915.0,2014-04-10 05:34:00,0.0,0.0,0.0,0.0,0.0,0.0,0.6966416562673425,247200.0,3715.0,0
2014-04-10 05:39:00,223452.0,2014-04-10 05:39:00,0.0,0.0,0.0,0.0,0.0,0.0,0.7032460367604549,247255.0,23803.0,0
2014-04-10 05:44:00,248468.0,2014-04-10 05:44:00,0.0,0.0,0.0,0.0,0.0,0.0,0.6938250659050447,247310.0,1158.0,0
2014-04-10 05:49:00,223264.0,2014-04-10 05:49:00,0.0,0.0,0.0,0.0,0.0,0.0,0.6999437936580839,247562.0,24298.0,0
2014-04-10 05:54:00,248395.0,2014-04-10 05:54:00,0.0,0.0,0.0,0.0,0.0,0.0,0.690453336673705,247814.0,581.0,0
2014-04-10 05:59:00,3213880.0,2014-04-10 05:59:00,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.9841416034052024,247562.0,2966318.0,0
2014-04-10 06:04:00,252731.0,2014-04-10 06:04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.6937783820193226,247814.0,4917.0,0
2014-04-10 06:09:00,3197710.0,2014-04-10 06:09:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9807944585925428,247562.0,2950148.0,0
2014-04-10 06:14:00,244921.0,2014-04-10 06:14:00,0.0,0.0,0.0,0.0,0.0,0.0,0.7005033304549124,247310.0,2389.0,0
2014-04-10 06:19:00,236245.0,2014-04-10 06:19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.7015154034724629,247562.0,11317.0,0
2014-04-10 06:24:00,241661.0,2014-04-10 06:24:00,0.0,0.4,0.0,0.0,0.0,0.0,0.6983201975472761,247814.0,6153.0,0
2014-04-10 06:29:00,239502.0,2014-04-10 06:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.6974583372597826,247888.5,8386.5,0
2014-04-10 06:34:00,226975.0,2014-04-10 06:34:00,0.0,0.0,0.0,0.0,0.0,0.0,0.6997789673805719,247963.0,20988.0,0
2014-04-10 06:39:00,236693.0,2014-04-10 06:39:00,0.0,0.0,0.0,0.0,0.0,0.0,0.6953151546330439,247888.5,11195.5,0
