timestep,orig_value,dt_object,score_AnDePeDPro_ec2_cpu_utilization,score_bayesChangePt_ec2_cpu_utilization,score_contextOSE_ec2_cpu_utilization,score_earthgeckoSkyline_ec2_cpu_utilization,score_knncad_ec2_cpu_utilization,score_relativeEntropy_ec2_cpu_utilization,score_windowedGaussian_ec2_cpu_utilization,expected_pattern,pattern_deviation,is_final_anomaly
2014-02-14 14:30:00,1.732,2014-02-14 14:30:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.798,0.06600000000000006,0
2014-02-14 14:35:00,1.732,2014-02-14 14:35:00,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.798,0.06600000000000006,0
2014-02-14 14:40:00,1.96,2014-02-14 14:40:00,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.798,0.16199999999999992,0
2014-02-14 14:45:00,1.732,2014-02-14 14:45:00,1.0,0.0,0.0,0.0,0.0,0.0,0.7602499389065233,1.798,0.06600000000000006,0
2014-02-14 14:50:00,1.706,2014-02-14 14:50:00,1.0,0.0,0.0,0.0,0.0,0.0,0.799742836843564,1.798,0.09200000000000008,0
2014-02-14 14:55:00,1.734,2014-02-14 14:55:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6580117397046339,1.798,0.06400000000000006,0
2014-02-14 15:00:00,1.766,2014-02-14 15:00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000003,1.798,0.03200000000000003,0
2014-02-14 15:05:00,1.766,2014-02-14 15:05:00,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000002,1.798,0.03200000000000003,0
2014-02-14 15:10:00,2.026,2014-02-14 15:10:00,1.0,0.0,0.0,0.0,0.0,0.0,0.9997080242144988,1.798,0.22799999999999976,0
2014-02-14 15:15:00,1.7619999999999998,2014-02-14 15:15:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6191748455395083,1.798,0.036000000000000254,0
2014-02-14 15:20:00,1.704,2014-02-14 15:20:00,1.0,0.0,0.0,0.0,0.0,0.0,0.801695192363331,1.798,0.09400000000000008,0
2014-02-14 15:25:00,1.834,2014-02-14 15:25:00,1.0,0.0,0.0,0.0,0.0,0.0,0.689780786376837,1.798,0.03600000000000003,0
2014-02-14 15:30:00,1.832,2014-02-14 15:30:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6732984850988594,1.798,0.03400000000000003,0
2014-02-14 15:35:00,1.826,2014-02-14 15:35:00,1.0,0.0,0.0,0.0,0.0,0.0,0.642485444673394,1.798,0.028000000000000025,0
2014-02-14 15:40:00,1.908,2014-02-14 15:40:00,1.0,0.0,0.0,0.0,0.0,0.0,0.8924244764770963,1.798,0.10999999999999988,0
2014-02-14 15:45:00,1.798,2014-02-14 15:45:00,1.0,0.0,0.0,0.0,0.0,0.0,0.514215651185335,1.798,0.0,0
2014-02-14 15:50:00,1.732,2014-02-14 15:50:00,1.0,0.0,0.0,0.0,0.0,0.0,0.7773613589544203,1.798,0.06600000000000006,0
2014-02-14 15:55:00,1.802,2014-02-14 15:55:00,1.0,0.0,0.0,0.0,0.0,0.0,0.5220512358165212,1.798,0.0040000000000000036,0
2014-02-14 16:00:00,1.764,2014-02-14 16:00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6494571288489424,1.798,0.03400000000000003,0
2014-02-14 16:05:00,1.86,2014-02-14 16:05:00,1.0,0.0,0.0,0.0,0.0,0.0,0.7761457783057366,1.798,0.062000000000000055,0
2014-02-14 16:10:00,1.998,2014-02-14 16:10:00,1.0,0.0,0.0,0.0,0.0,0.0,0.991218440773442,1.798,0.19999999999999996,0
2014-02-14 16:15:00,1.7719999999999998,2014-02-14 16:15:00,1.0,0.0,0.0,0.0,0.0,0.0,0.6530430771665693,1.798,0.026000000000000245,0
